Date;Lambda
04.04.11 - 10.04.11;0,028138239
11.04.11 - 17.04.11;0,027740711
18.04.11 - 24.04.11;0,027641259
25.04.11 - 01.05.11;0,027476801
02.05.11 - 08.05.11;0,027402749
09.05.11 - 15.05.11;0,027326245
16.05.11 - 22.05.11;0,026873318
23.05.11 - 29.05.11;0,026452993
30.05.11 - 05.06.11;0,027082107
06.06.11 - 12.06.11;0,026648735
13.06.11 - 19.06.11;0,026618096
20.06.11 - 26.06.11;0,026750578
27.06.11 - 03.07.11;0,027021226
04.07.11 - 10.07.11;0,027148956
11.07.11 - 17.07.11;0,026986852
18.07.11 - 24.07.11;0,02713248
25.07.11 - 31.07.11;0,027338885
01.08.11 - 07.08.11;0,028122539
08.08.11 - 14.08.11;0,03143727
15.08.11 - 21.08.11;0,0330949
22.08.11 - 28.08.11;0,033785703
29.08.11 - 04.09.11;0,034948037
05.09.11 - 11.09.11;0,036024974
12.09.11 - 18.09.11;0,036653073
19.09.11 - 25.09.11;0,037566881
26.09.11 - 02.10.11;0,03892762
03.10.11 - 09.10.11;0,039837832
10.10.11 - 16.10.11;0,040938069
17.10.11 - 23.10.11;0,041890798
24.10.11 - 30.10.11;0,042590074
31.10.11 - 06.11.11;0,043633604
07.11.11 - 13.11.11;0,044342645
14.11.11 - 20.11.11;0,044054805
21.11.11 - 27.11.11;0,043838175
28.11.11 - 04.12.11;0,044872537
05.12.11 - 11.12.11;0,045265244
12.12.11 - 18.12.11;0,045492886
19.12.11 - 25.12.11;0,046059177
26.12.11 - 01.01.12;0,046406398
02.01.12 - 08.01.12;0,045766016
09.01.12 - 15.01.12;0,045465024
16.01.12 - 22.01.12;0,045197417
23.01.12 - 29.01.12;0,044111993
30.01.12 - 05.02.12;0,044212011
06.02.12 - 12.02.12;0,04313621
13.02.12 - 19.02.12;0,041723524
20.02.12 - 26.02.12;0,040360157
27.02.12 - 04.03.12;0,039370669
05.03.12 - 11.03.12;0,038881113
12.03.12 - 18.03.12;0,038716394
19.03.12 - 25.03.12;0,038155306
26.03.12 - 01.04.12;0,036995113
02.04.12 - 08.04.12;0,035799371
09.04.12 - 15.04.12;0,034860833
16.04.12 - 22.04.12;0,034129636
23.04.12 - 29.04.12;0,033330728
30.04.12 - 06.05.12;0,032203466
07.05.12 - 13.05.12;0,031979044
14.05.12 - 20.05.12;0,031141365
21.05.12 - 27.05.12;0,030470665
28.05.12 - 03.06.12;0,03025357
04.06.12 - 10.06.12;0,030595333
11.06.12 - 17.06.12;0,029405456
18.06.12 - 24.06.12;0,029072607
25.06.12 - 01.07.12;0,029152036
02.07.12 - 08.07.12;0,028847716
09.07.12 - 15.07.12;0,028763967
16.07.12 - 22.07.12;0,02895875
23.07.12 - 29.07.12;0,028700928
30.07.12 - 05.08.12;0,029268018
06.08.12 - 12.08.12;0,029253956
13.08.12 - 19.08.12;0,029214252
20.08.12 - 26.08.12;0,029185031
27.08.12 - 02.09.12;0,028586019
03.09.12 - 09.09.12;0,028556893
10.09.12 - 16.09.12;0,028570497
17.09.12 - 23.09.12;0,028515586
24.09.12 - 30.09.12;0,028467955
01.10.12 - 07.10.12;0,028175517
08.10.12 - 14.10.12;0,028176114
15.10.12 - 21.10.12;0,028175194
22.10.12 - 28.10.12;0,027664602
29.10.12 - 04.11.12;0,02806345
05.11.12 - 11.11.12;0,028150045
12.11.12 - 18.11.12;0,028115162
19.11.12 - 25.11.12;0,027652043
26.11.12 - 02.12.12;0,028133929
03.12.12 - 09.12.12;0,027087144
10.12.12 - 16.12.12;0,026530051
17.12.12 - 23.12.12;0,026150474
24.12.12 - 30.12.12;0,025780483
31.12.12 - 06.01.13;0,025610775
07.01.13 - 13.01.13;0,025575338
14.01.13 - 20.01.13;0,025499403
21.01.13 - 27.01.13;0,025362915
28.01.13 - 03.02.13;0,025132311
04.02.13 - 10.02.13;0,024903931
11.02.13 - 17.02.13;0,024765279
18.02.13 - 24.02.13;0,024615256
25.02.13 - 03.03.13;0,024823783
04.03.13 - 10.03.13;0,025129074
11.03.13 - 17.03.13;0,025115642
18.03.13 - 24.03.13;0,024691144
25.03.13 - 31.03.13;0,024607161
01.04.13 - 07.04.13;0,02505304
08.04.13 - 14.04.13;0,025290489
15.04.13 - 21.04.13;0,026090132
22.04.13 - 28.04.13;0,025690986
29.04.13 - 05.05.13;0,025626279
06.05.13 - 12.05.13;0,026047982
13.05.13 - 19.05.13;0,025519927
20.05.13 - 26.05.13;0,025347597
27.05.13 - 02.06.13;0,02554198
03.06.13 - 09.06.13;0,025791019
10.06.13 - 16.06.13;0,02589049
17.06.13 - 23.06.13;0,026279121
24.06.13 - 30.06.13;0,026036516
01.07.13 - 07.07.13;0,026060746
08.07.13 - 14.07.13;0,026105819
15.07.13 - 21.07.13;0,026252604
22.07.13 - 28.07.13;0,026462119
29.07.13 - 04.08.13;0,02679403
05.08.13 - 11.08.13;0,026584057
12.08.13 - 18.08.13;0,026130863
19.08.13 - 25.08.13;0,025673751
26.08.13 - 01.09.13;0,025849587
02.09.13 - 08.09.13;0,025866565
09.09.13 - 15.09.13;0,025891214
16.09.13 - 22.09.13;0,025833402
23.09.13 - 29.09.13;0,025787787
30.09.13 - 06.10.13;0,025215925
07.10.13 - 13.10.13;0,025313573
14.10.13 - 20.10.13;0,024760109
21.10.13 - 27.10.13;0,024821674
28.10.13 - 03.11.13;0,024517974
04.11.13 - 10.11.13;0,024609842
11.11.13 - 17.11.13;0,024495741
18.11.13 - 24.11.13;0,024431229
25.11.13 - 01.12.13;0,023976052
02.12.13 - 08.12.13;0,023855226
09.12.13 - 15.12.13;0,023715741
16.12.13 - 22.12.13;0,023633005
23.12.13 - 29.12.13;0,023531278
30.12.13 - 05.01.14;0,023421015
06.01.14 - 12.01.14;0,023325602
13.01.14 - 19.01.14;0,023458564
20.01.14 - 26.01.14;0,023506533
27.01.14 - 02.02.14;0,024102341
03.02.14 - 09.02.14;0,025030779
10.02.14 - 16.02.14;0,025230304
17.02.14 - 23.02.14;0,025581615
24.02.14 - 02.03.14;0,02558761
03.03.14 - 09.03.14;0,025645363
10.03.14 - 16.03.14;0,025475815
17.03.14 - 23.03.14;0,02570551
24.03.14 - 30.03.14;0,025725537
31.03.14 - 06.04.14;0,025458064
07.04.14 - 13.04.14;0,025706504
14.04.14 - 20.04.14;0,025735203
21.04.14 - 27.04.14;0,025111423
28.04.14 - 04.05.14;0,02518449
05.05.14 - 11.05.14;0,025032136
12.05.14 - 18.05.14;0,024940603
19.05.14 - 25.05.14;0,024761527
26.05.14 - 01.06.14;0,024901238
02.06.14 - 08.06.14;0,024938004
09.06.14 - 15.06.14;0,024551778
16.06.14 - 22.06.14;0,024493967
23.06.14 - 29.06.14;0,024023958
30.06.14 - 06.07.14;0,023878808
07.07.14 - 13.07.14;0,023770393
14.07.14 - 20.07.14;0,023937081
21.07.14 - 27.07.14;0,023559646
28.07.14 - 03.08.14;0,023223855
04.08.14 - 10.08.14;0,022216326
11.08.14 - 17.08.14;0,02184608
18.08.14 - 24.08.14;0,021265613
25.08.14 - 31.08.14;0,021131045
01.09.14 - 07.09.14;0,021001815
08.09.14 - 14.09.14;0,020968436
15.09.14 - 21.09.14;0,020969641
22.09.14 - 28.09.14;0,021177644
29.09.14 - 05.10.14;0,021079342
06.10.14 - 12.10.14;0,021398102
13.10.14 - 19.10.14;0,021715463
20.10.14 - 26.10.14;0,021613875
27.10.14 - 02.11.14;0,021515909
03.11.14 - 09.11.14;0,021762656
10.11.14 - 16.11.14;0,021945479
17.11.14 - 23.11.14;0,02189334
24.11.14 - 30.11.14;0,021964367
01.12.14 - 07.12.14;0,021935925
08.12.14 - 14.12.14;0,02215045
15.12.14 - 21.12.14;0,022459829
22.12.14 - 28.12.14;0,022833058
29.12.14 - 04.01.15;0,023230486
05.01.15 - 11.01.15;0,023260877
12.01.15 - 18.01.15;0,021751254
19.01.15 - 25.01.15;0,02221604
26.01.15 - 01.02.15;0,022107452
02.02.15 - 08.02.15;0,022619479
09.02.15 - 15.02.15;0,02315775
16.02.15 - 22.02.15;0,023662521
23.02.15 - 01.03.15;0,023489825
02.03.15 - 08.03.15;0,024299919
09.03.15 - 15.03.15;0,024835367
16.03.15 - 22.03.15;0,025007721
23.03.15 - 29.03.15;0,025409992
30.03.15 - 05.04.15;0,025199898
06.04.15 - 12.04.15;0,024967746
13.04.15 - 19.04.15;0,024783786
20.04.15 - 26.04.15;0,024710347
27.04.15 - 03.05.15;0,024726467
04.05.15 - 10.05.15;0,024748487
11.05.15 - 17.05.15;0,024181381
